language,experiment,operation,size_mib,median_ms,throughput_mib_s
python,copy_vs_view,bytes_copy,1,0.00030000046535860747,3333328.16269016
python,copy_vs_view,memoryview,1,0.0006000000212225132,1666666.6077152432
python,copy_vs_view,memoryview_slice,1,0.0002999995558639057,3333338.2681861315
python,copy_vs_view,numpy_frombuffer,1,0.0009000004865811206,1111110.510394003
python,copy_vs_view,numpy_copy,1,0.05289999990054639,18903.59171795899
python,copy_vs_view,bytes_copy,2,0.0002999995558639057,6666676.536372263
python,copy_vs_view,memoryview,2,0.00030000046535860747,6666656.32538032
python,copy_vs_view,memoryview_slice,2,0.00019999970390927047,10000014.804558394
python,copy_vs_view,numpy_frombuffer,2,0.0010000003385357559,1999999.3229287174
python,copy_vs_view,numpy_copy,2,0.14550000014423858,13745.704453727416
python,copy_vs_view,bytes_copy,4,0.00019999970390927047,20000029.60911679
python,copy_vs_view,memoryview,4,0.0005000001692678779,7999997.291714869
python,copy_vs_view,memoryview_slice,4,0.00030000046535860747,13333312.65076064
python,copy_vs_view,numpy_frombuffer,4,0.0009000004865811206,4444442.041576012
python,copy_vs_view,numpy_copy,4,1.4340999996420578,2789.2057743521195
python,copy_vs_view,bytes_copy,8,0.00030000046535860747,26666625.30152128
python,copy_vs_view,memoryview,8,0.0004000003173132427,19999984.134350453
python,copy_vs_view,memoryview_slice,8,0.00039999940781854093,20000029.60911679
python,copy_vs_view,numpy_frombuffer,8,0.0007999997251317836,10000003.435853885
python,copy_vs_view,numpy_copy,8,3.899400000591413,2051.5976813834586
python,copy_vs_view,bytes_copy,16,0.00020000061340397224,79999754.63916363
python,copy_vs_view,memoryview,16,0.00030000046535860747,53333250.60304256
python,copy_vs_view,memoryview_slice,16,0.00030000046535860747,53333250.60304256
python,copy_vs_view,numpy_frombuffer,16,0.0006999998731771484,22857146.998297945
python,copy_vs_view,numpy_copy,16,4.857200000515149,3294.0788928401253
python,copy_vs_view,bytes_copy,32,0.00030000046535860747,106666501.20608512
python,copy_vs_view,memoryview,32,0.00039999940781854093,80000118.43646716
python,copy_vs_view,memoryview_slice,32,0.00030000046535860747,106666501.20608512
python,copy_vs_view,numpy_frombuffer,32,0.0007999997251317836,40000013.74341554
python,copy_vs_view,numpy_copy,32,9.689299999990908,3302.612159808245
python,copy_vs_view,bytes_copy,64,9.999985195463523e-05,640000947.4917372
python,copy_vs_view,memoryview,64,0.0004000003173132427,159999873.07480362
python,copy_vs_view,memoryview_slice,64,0.00030000046535860747,213333002.41217023
python,copy_vs_view,numpy_frombuffer,64,0.001100000190490391,58181808.10629511
python,copy_vs_view,numpy_copy,64,18.982699999469332,3371.4908838989786
python,copy_vs_view,bytes_copy,128,0.00019999970390927047,640000947.4917372
python,copy_vs_view,memoryview,128,0.00030000046535860747,426666004.82434046
python,copy_vs_view,memoryview_slice,128,0.0004000003173132427,319999746.14960724
python,copy_vs_view,numpy_frombuffer,128,0.0006000000212225132,213333325.78755113
python,copy_vs_view,numpy_copy,128,47.521899999992456,2693.494999148189
cpp,copy_vs_view,vector_copy,1,0.2535,3944.77
cpp,copy_vs_view,span_view,1,0.0001,1e+07
cpp,copy_vs_view,vector_copy,2,0.5766,3468.61
cpp,copy_vs_view,span_view,2,0.0001,2e+07
cpp,copy_vs_view,vector_copy,4,1.1593,3450.36
cpp,copy_vs_view,span_view,4,0.0002,2e+07
cpp,copy_vs_view,vector_copy,8,1.725,4637.68
cpp,copy_vs_view,span_view,8,0.0001,8e+07
cpp,copy_vs_view,vector_copy,16,3.8062,4203.67
cpp,copy_vs_view,span_view,16,0.0001,1.6e+08
cpp,copy_vs_view,vector_copy,32,7.8842,4058.75
cpp,copy_vs_view,span_view,32,0.0002,1.6e+08
cpp,copy_vs_view,vector_copy,64,14.3807,4450.41
cpp,copy_vs_view,span_view,64,0.0004,1.6e+08
cpp,copy_vs_view,vector_copy,128,36.0554,3550.09
cpp,copy_vs_view,span_view,128,0.0003,4.26667e+08
rust,copy_vs_view,vec_clone,1,0.3488,2866.9723948689107
rust,copy_vs_view,slice_view,1,0.0,10000000000.0
rust,copy_vs_view,vec_clone,2,0.4512,4432.624015234397
rust,copy_vs_view,slice_view,2,0.0,20000000000.0
rust,copy_vs_view,vec_clone,4,0.9644,4147.656531028032
rust,copy_vs_view,slice_view,4,0.0,40000000000.0
rust,copy_vs_view,vec_clone,8,2.0783,3849.2998900577404
rust,copy_vs_view,slice_view,8,0.0,80000000000.0
rust,copy_vs_view,vec_clone,16,5.1218,3123.9017471906327
rust,copy_vs_view,slice_view,16,0.0,160000000000.0
rust,copy_vs_view,vec_clone,32,9.5415,3353.770368019944
rust,copy_vs_view,slice_view,32,0.0,320000000000.0
rust,copy_vs_view,vec_clone,64,22.061899999999998,2900.9287491553637
rust,copy_vs_view,slice_view,64,0.0,640000000000.0
rust,copy_vs_view,vec_clone,128,50.697399999999995,2524.784307967512
rust,copy_vs_view,slice_view,128,0.0,1280000000000.0
